Variable Name,Data Type,Rows,Example,Percent Missing,Description,Source
X,integer,432,1,0,Row index,Automatically generated
state_abbr,character,432,AL,5.56,State abbreviation ID,Merged from FIPS code crosswalk table
X_STATE,numeric,432,1,0,State FIPS code ID,"Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
IYEAR,integer,432,2017,0,Survey year ID,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_obs,integer,432,6656,0.93,Number of observations in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_disabled,numeric,432,1264375.85058943,0.93,Number of disabled adults in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
pct_disabled,numeric,432,0.352780164871994,0.93,Percent of total population that is disabled in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_lackAccess,numeric,432,1310927.67766966,0.93,Number of total population that lacks access to medical care in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
pct_lackAccess,numeric,432,0.352597254382074,0.93,Percentage of total population that lacks access to medicare care in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_hlthNeed,numeric,432,2350251.8209082,0.93,Number of total population that has health needs in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
pct_hlthNeed,numeric,432,0.979887463223286,0.93,Percentage of total population that has health needs in a given state-year,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_unmetNeed,numeric,432,784498.281722188,0.93,Number of total population that has unmet health needs in a given state-year - lackAccess & hlthNeed,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
pct_unmetNeed,numeric,432,0.335237323608871,0.93,Percentage of total population that has unmet health needs in a given state-year - lackAccess & hlthNeed,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
n_DisUnmetNeed,numeric,432,415974.92867029,0.93,Number of disabled adults with unmet health needs in a given state-year - disabled & unmetNeed,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
pct_DisUnmetNeed,numeric,432,0.363192906699961,0.93,Percentage of disabled adult population with unmet health needs in a given state-year - disabled & unmetNeed,"State-year aggregate from: Centers for Disease Control and Prevention (CDC). Behavioral Risk Factor Surveillance System Survey Data. Atlanta, Georgia: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, [2026]."
Population,integer,432,4874486,5.56,Population count for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Poverty_Rate,numeric,432,15,5.56,Poverty rate for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Unemployment_rate,numeric,432,4.4,5.56,Unemployment rate for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Personal_income,numeric,432,199999800,5.56,(Median?) Personal income for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
State_Minimum_Wage,numeric,432,7.25,5.56,Minimum wage in a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Marginally_Food_Insecure,numeric,432,24.10363,5.56,Rate of marginal food insecurity in a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Food_Insecure,numeric,432,13.44144,5.56,Rate of moderate food insecurity in a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Very_Low_Food_Secure,numeric,432,5.10377,5.56,Rate of low food insecurity in a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Food_Stamp_Recipients,integer,432,804336,5.56,Number of food stamp recipients for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
SSI_recipients,integer,432,165002,5.56,Number of recipients of supplemental security income for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Medicaid_beneficiaries,integer,432,1017416,5.56,Number of medicaid beneficiaries for a given state-year,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
WIC_participation,integer,432,123993,5.56,"Total participation of Women, Infant, Children special nutrition program for a given state-year","University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
SBP_Total_Participation,integer,432,271324,5.56,Supplemental Breakfast Program participation - obtained from UKCPR dataset,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
Medicaid_expansion,numeric,432,0,5.56,Percent of the year medicaid expansion - obtained from UKCPR dataset,"University of Kentucky Center for Poverty Research. (2026, Feb). UKCPR National Welfare Data, 1980-2024. Lexington, KY. Available at https://ukcpr.uky.edu/resources/national-welfare-data (accessed March 31, 2026)."
state_name,character,432,alabama,5.56,State name identifier - spelled out,Manually engineered
increased_dis_unmet_need,integer,432,1,13.43,"Final outcome var - Engineered from BRFSS proxy variables - if (pct_dis_unmet_need > lag(pct_dis_unmet_need) then Increase, else Decrease","Final outcome var - Engineered from BRFSS proxy variables - if (pct_dis_unmet_need > lag(pct_dis_unmet_need) then Increase, else Decrease"
